name,rmsd_start,rmsd_end,plddt,ptm,rmsd_constraint,langevin,single_state_plddt,single_state_rmsd,curvature_mean,curvature_max,U,-PLL
5KPE_2_2_0_id0,1.158795714378357,1.3682398796081543,92.74629629629628,0.82,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-223.2525329589844,2.658596462673611
5KPE_2_2_0_id1,1.694729208946228,1.030978798866272,88.96861111111113,0.76,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-224.62921142578125,2.4496002197265625
5KPE_2_2_0_id10,1.1660189628601074,1.0023143291473389,89.97944444444447,0.76,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-218.9903564453125,2.5756202980324074
5KPE_2_2_0_id11,1.6485010385513306,1.3046141862869263,89.69361111111111,0.79,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-225.7034149169922,2.616758275915075
5KPE_2_2_0_id12,1.1983003616333008,1.3567006587982178,89.57462962962961,0.77,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-223.21725463867188,2.682215372721354
5KPE_2_2_0_id13,1.7264994382858276,1.0679824352264404,90.0051851851852,0.76,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-225.78738403320312,2.514185587565104
5KPE_2_2_0_id14,1.6612621545791626,1.1232037544250488,92.31722222222224,0.82,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-222.2559814453125,2.655666210033276
5KPE_2_2_0_id15,1.257295846939087,1.486763596534729,89.96203703703704,0.76,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-218.09341430664065,2.508910567672164
5KPE_2_2_0_id16,1.5510916709899902,1.1906038522720337,87.1027777777778,0.7,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-224.43492126464844,2.5668216281467013
5KPE_2_2_0_id17,1.514302134513855,1.2964024543762207,91.28629629629631,0.81,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-224.5170745849609,2.588827062536169
5KPE_2_2_0_id18,1.4711095094680786,1.1635968685150146,92.15722222222222,0.82,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-225.5235748291016,2.50968509250217
5KPE_2_2_0_id19,1.53350830078125,1.3242323398590088,89.07120370370369,0.77,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-225.6748504638672,2.7006474247685186
5KPE_2_2_0_id2,1.5713653564453125,1.3335201740264893,87.19250000000002,0.76,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-223.39596557617188,2.7350220856843173
5KPE_2_2_0_id20,1.74510657787323,0.9993391036987305,88.56296296296297,0.72,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-222.7283477783203,2.8509272822627314
5KPE_2_2_0_id21,1.5951440334320068,1.075024127960205,90.53027777777778,0.77,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-225.38140869140625,2.4534233940972223
5KPE_2_2_0_id22,1.2379940748214722,1.3224163055419922,88.74953703703704,0.77,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-223.09817504882807,2.647557576497396
5KPE_2_2_0_id23,1.5662896633148193,0.991589367389679,88.60611111111112,0.73,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-220.4232482910156,2.435474537037037
5KPE_2_2_0_id3,1.9101359844207764,1.0131992101669312,89.31314814814813,0.77,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-220.27967834472656,2.801470156069155
5KPE_2_2_0_id4,1.427000641822815,1.1340490579605103,87.61000000000001,0.72,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-223.67852783203125,2.8443883260091147
5KPE_2_2_0_id5,1.4112026691436768,1.277924656867981,90.42203703703704,0.78,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-222.26431274414065,2.753297876428675
5KPE_2_2_0_id6,1.5841151475906372,1.1982169151306152,89.81157407407406,0.78,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-225.02365112304688,2.512150799786603
5KPE_2_2_0_id7,1.1804568767547607,1.5338035821914673,88.36444444444444,0.74,2,2,92.71379629629628,0.5859853625297546,20.796156,71.92844,-219.85736083984372,2.403684545446325
