name,seed,model,plddt,ptm,rmsd_start,rmsd_end
5KPH_4_8_5_0_combined_id11,44,2,94.36861111111112,0.79,0.6855895519256592,4.086615085601807
5KPE_4_4_4_0_combined_id19,42,4,84.00712962962963,0.74,2.1474080085754395,2.848724603652954
5KPE_6_2_0_0_combined_id23,44,1,77.0262037037037,0.56,16.128387451171875,13.897745132446289
5KPE_4_4_2_0_combined_id13,43,3,84.1249074074074,0.69,1.2134801149368286,3.304532289505005
5KPH_2_6_4_0_combined_id15,42,3,91.70458333333332,0.74,0.8045326471328735,2.496591329574585
5KPE_2_8_9_0_combined_id14,44,5,66.14842592592592,0.51,13.736588478088379,12.53138542175293
5KPH_2_4_4_0_combined_id4,44,4,95.01819444444445,0.82,0.5660826563835144,2.0001273155212402
5KPH_6_4_0_0_combined_id20,42,4,90.18375,0.73,2.266773223876953,3.89689040184021
5KPE_2_2_7_0_combined_id9,42,2,60.25944444444445,0.48,9.498465538024902,9.635075569152832
5KPE_2_2_2_0_combined_id21,43,4,89.36851851851853,0.75,0.9643952250480652,1.4000171422958374
5KPE_4_4_0_0_combined_id7,44,3,75.85712962962963,0.63,2.4338481426239014,2.7893338203430176
5KPH_6_4_0_0_combined_id5,44,5,89.72347222222223,0.7,0.8729524612426758,5.714043140411377
5KPE_4_8_6_0_combined_id7,43,5,87.37462962962962,0.73,1.166986346244812,3.6600823402404785
5KPH_4_4_2_0_combined_id9,44,3,85.3963888888889,0.65,2.016538381576538,3.190514326095581
5KPH_2_2_8_0_combined_id4,44,2,91.2648611111111,0.75,0.6746426224708557,2.0299484729766846
5KPE_2_4_6_0_combined_id15,42,4,84.71685185185186,0.71,1.2881518602371216,1.3444496393203735
5KPE_2_8_2_0_combined_id3,42,5,73.8625,0.51,17.252965927124023,16.094146728515625
5KPH_2_4_9_0_combined_id8,44,4,93.85,0.79,0.7480477094650269,1.9511892795562744
5KPE_4_2_8_0_combined_id5,43,2,81.5374074074074,0.68,2.3420658111572266,3.893564462661743
5KPH_8_6_4_0_combined_id9,44,1,81.66916666666667,0.6,1.0959336757659912,7.631631374359131
5KPH_2_8_0_0_combined_id13,43,4,94.82319444444444,0.81,0.7006800770759583,2.0019848346710205
5KPE_2_4_2_0_combined_id5,42,5,68.12592592592593,0.52,9.917801856994629,10.364971160888672
5KPH_4_4_6_0_combined_id19,43,5,92.13708333333334,0.74,0.6608114838600159,4.170110702514648
5KPH_2_6_6_0_combined_id8,42,3,90.35013888888888,0.7,1.7522640228271484,0.9661250114440918
5KPH_2_6_8_0_combined_id20,43,3,86.34152777777778,0.65,1.5339950323104858,1.2343060970306396
5KPE_4_8_3_0_combined_id21,42,5,68.26472222222223,0.53,4.370658874511719,5.2467193603515625
5KPH_2_2_2_0_combined_id17,44,4,89.49763888888889,0.73,0.7610979080200195,1.6804225444793701
5KPH_4_4_7_0_combined_id19,42,3,85.11111111111111,0.64,1.697403073310852,2.441368818283081
5KPH_6_6_8_0_combined_id7,43,2,93.70055555555555,0.75,3.066859722137451,3.7391903400421143
5KPE_2_4_8_0_combined_id18,44,1,87.81351851851852,0.72,1.5104219913482666,1.3363693952560425
5KPE_2_2_5_0_combined_id22,44,2,87.79333333333334,0.72,1.3343079090118408,1.2698817253112793
5KPE_4_2_9_0_combined_id23,44,3,68.89564814814814,0.55,9.306663513183594,10.12079906463623
5KPH_2_2_0_0_combined_id11,43,5,92.05930555555555,0.76,0.7557601928710938,1.6166913509368896
5KPH_2_4_3_0_combined_id14,43,3,92.27055555555556,0.77,0.7817479968070984,2.0733981132507324
5KPE_4_8_5_0_combined_id17,43,4,70.8925,0.57,10.017706871032715,10.956706047058105
5KPE_4_2_9_0_combined_id8,43,3,77.7749074074074,0.68,10.33099365234375,12.470000267028809
5KPH_2_6_1_0_combined_id17,43,5,91.29819444444443,0.73,1.9340234994888306,0.731042742729187
5KPH_4_8_4_0_combined_id16,42,1,89.29722222222222,0.69,0.782196581363678,4.124824047088623
5KPE_4_6_3_0_combined_id22,42,2,60.647777777777776,0.49,11.11277961730957,13.284300804138184
5KPH_2_2_0_0_combined_id24,42,1,91.3963888888889,0.75,0.5135128498077393,1.9496179819107056
5KPH_4_6_9_0_combined_id20,43,3,89.56402777777777,0.73,1.0075209140777588,3.562110185623169
5KPE_4_8_3_0_combined_id14,43,4,65.28564814814814,0.53,10.400535583496094,11.31301498413086
5KPH_2_4_9_0_combined_id12,43,4,91.55027777777778,0.75,0.7843833565711975,2.394721269607544
5KPE_2_8_3_0_combined_id20,44,4,57.72861111111111,0.52,10.993088722229004,12.07059383392334
5KPE_4_6_4_0_combined_id10,43,4,82.76935185185184,0.71,1.5135371685028076,3.457245111465454
5KPE_4_4_0_0_combined_id7,43,4,69.4588888888889,0.59,5.702488899230957,6.148989677429199
5KPE_4_6_5_0_combined_id20,43,4,64.0987962962963,0.55,8.386160850524902,10.501193046569824
5KPE_2_8_3_0_combined_id4,42,2,63.19231481481483,0.52,7.4342756271362305,8.606301307678223
5KPE_4_2_2_0_combined_id7,42,5,64.8311111111111,0.49,11.658745765686035,13.880197525024414
5KPE_4_6_3_0_combined_id6,44,2,73.16407407407408,0.62,2.397590398788452,2.7117645740509033
5KPH_2_8_5_0_combined_id12,43,2,87.93625,0.71,0.8088686466217041,1.9193315505981445
5KPE_2_8_7_0_combined_id7,43,3,77.99388888888889,0.65,9.198010444641113,9.533114433288574
5KPE_2_6_6_0_combined_id22,44,4,80.50185185185184,0.68,12.043975830078125,13.069428443908691
5KPH_2_4_8_0_combined_id9,42,5,95.3152777777778,0.81,0.7774533033370972,1.7720965147018433
5KPE_2_6_9_0_combined_id6,43,4,91.3850925925926,0.8,1.4650261402130127,1.251752257347107
5KPE_4_4_7_0_combined_id3,44,2,93.84879629629629,0.84,1.2510943412780762,3.35091495513916
5KPH_6_4_0_0_combined_id9,42,2,92.65263888888887,0.78,0.6807984709739685,5.658496379852295
5KPE_4_2_3_0_combined_id16,44,3,62.87,0.5,9.198099136352539,11.569112777709961
5KPH_4_8_2_0_combined_id5,44,2,91.61347222222224,0.75,0.7311416268348694,4.193208694458008
5KPH_4_6_7_0_combined_id6,44,4,93.01083333333332,0.77,1.621526837348938,2.6902151107788086
5KPE_4_6_4_0_combined_id10,43,1,83.71074074074076,0.71,1.3290023803710938,3.5078954696655273
5KPE_8_2_7_0_combined_id6,44,2,69.83796296296295,0.58,10.223281860351562,11.59980297088623
5KPE_4_4_9_0_combined_id8,44,5,72.53194444444445,0.57,10.669442176818848,12.81100845336914
5KPE_4_2_3_0_combined_id6,44,1,78.77203703703702,0.61,8.203792572021484,8.887262344360352
5KPH_4_2_2_0_combined_id7,42,2,93.20722222222224,0.79,0.9574396014213562,3.1624040603637695
